0 0.000 3.700
1 0.100 5.600 
2 0.100 3.600 
3 0.200 2.933 
4 0.250 2.550 
5 0.320 2.340 
6 0.367 2.183 
7 0.400 2.057 
8 0.425 1.975 
9 0.444 1.900 
10 0.470 1.840 
11 0.491 1.791 
12 0.517 1.750 
13 0.531 1.715 
14 0.550 1.679 
15 0.560 1.653 
16 0.588 1.625 
17 0.582 1.600 
18 0.594 1.578 
19 0.605 1.558 
20 0.610 1.540 
21 0.619 1.524 
22 0.627 1.509 
23 0.635 1.496 
24 0.642 1.483 
25 0.648 1.472
26 0.654 1.462
27 0.659 1.452
28 0.664 1.443
29 0.669 1.434
30 0.673 1.427
31 0.677 1.419
32 0.681 1.409
33 0.688 1.403
34 0.691 1.397
35 0.694 1.391
36 0.697 1.383
37 0.703 1.378
38 0.705 1.374
39 0.710 1.367
40 0.715 1.363
41 0.717 1.356
42 0.721 1.352
43 0.723 1.347
44 0.727 1.341
45 0.729 1.338
46 0.730 1.333
47 0.734 1.330
48 0.735 1.325
49 0.737 1.322
50 0.740 1.318
